Loading repository data...
Warning: Repository 'openSUSE-Leap-42.1-Update' appears to be outdated. Consider using a different mirror or server.
Reading installed packages...

S | Name                                                   | Summary                                                                            | Type       
  | gtksourceview2-lang                                    | Languages for package gtksourceview2                                               | package    
  | gtksourceview2-sharp                                   | Mono bindings for gtksourceview2                                                   | package    
  | gtksourceviewmm-devel                                  | C++ interface for gtksourceview -- Development Files                               | package    
  | gtkspell-devel                                         | Static libraries and header files from gtkspell                                    | package    
  | gtkspell-doc                                           | GTK2 Spell Checker Interface Library                                               | package    
  | gtkspell-lang                                          | Languages for package gtkspell                                                     | package    
  | gtkspell3-devel                                        | GTK3 Spell Checker Interface Library -- Development Files                          | package    
i | gtkspell3-lang                                         | Languages for package gtkspell3                                                    | package    
  | gtkterm                                                | It is a "clone" of the famous Hyperterminal                                        | srcpackage 
i | gtkterm                                                | It is a "clone" of the famous Hyperterminal                                        | package    
  | gtkterm-lang                                           | Languages for package gtkterm                                                      | package    
  | gtkwave                                                | Waveform viewer for Ditital Signals                                                | package    
  | gtkwave-doc                                            | Documentation for GTKWave                                                          | package    
  | gtkwave-examples                                       | Examples for GTKWave                                                               | package    
i | ibus-gtk                                               | IBus im module for gtk2                                                            | package    
i | ibus-gtk-32bit                                         | IBus im module for gtk2                                                            | package    
i | ibus-gtk3                                              | IBus im module for gtk3                                                            | package    
i | ibus-gtk3-32bit                                        | IBus im module for gtk3                                                            | package    
  | kde-gtk-config5                                        | KCM Module to Configure GTK2 and GTK3 Applications Appearance Under KDE            | package    
  | kde-gtk-config5                                        | KCM Module to Configure GTK2 and GTK3 Applications Appearance Under KDE            | srcpackage 
  | kde-gtk-config5-lang                                   | Languages for package kde-gtk-config5                                              | package    
i | libavahi-ui-gtk3-0                                     | D-BUS Service for Zeroconf and Bonjour                                             | package    
  | libcanberra-gtk-devel                                  | Portable sound event library -- Development files                                  | package    
i | libcanberra-gtk-module-common                          | Portable sound event library -- Common Files for GTK+ Modules                      | package    
i | libcanberra-gtk0                                       | Portable sound event library -- GTK+ 2 Library                                     | package    
i | libcanberra-gtk0-32bit                                 | Portable sound event library -- GTK+ 2 Library                                     | package    
i | libcanberra-gtk2-module                                | Portable sound event library -- GTK+ 2 Module                                      | package    
i | libcanberra-gtk2-module-32bit                          | Portable sound event library -- GTK+ 2 Module                                      | package    
i | libcanberra-gtk3-0                                     | Portable sound event library -- GTK+ 3 Library                                     | package    
i | libcanberra-gtk3-0-32bit                               | Portable sound event library -- GTK+ 3 Library                                     | package    
  | libcanberra-gtk3-devel                                 | Portable sound event library -- Development files                                  | package    
i | libcanberra-gtk3-module                                | Portable sound event library -- GTK+ 3 Module                                      | package    
i | libcanberra-gtk3-module-32bit                          | Portable sound event library -- GTK+ 3 Module                                      | package    
i | libcheese-gtk23                                        | Webcam Booth for GNOME - UI Library                                                | package    
i | libcheese-gtk25                                        | Webcam Booth for GNOME - UI Library                                                | package    
i | libclutter-gtk-1_0-0                                   | GTK+ integration for Clutter                                                       | package    
  | libclutter-gtk-1_0-0-32bit                             | GTK+ integration for Clutter                                                       | package    
  | libcolord-gtk-devel                                    | System Daemon for Managing Color Devices -- GTK Integration Development Files      | package    
i | libcolord-gtk1                                         | System Daemon for Managing Color Devices -- GTK Integration Library                | package    
  | libcolord-gtk1-32bit                                   | System Daemon for Managing Color Devices -- GTK Integration Library                | package    
  | libcxx-gtk-utils-3-2_2-0                               | Lightweight library for GTK+ programs using C++                                    | package    
  | libcxx-gtk-utils-3-devel                               | Lightweight library for GTK+ programs using C++ -- Development Files               | package    
  | libdbusmenu-gtk-devel                                  | Development files for libdbusmenu-gtk4                                             | package    
  | libdbusmenu-gtk-doc                                    | Documentation for libdbusmenu-gtk4 and libdbusmenu-gtk3-4                          | package    
  | libdbusmenu-gtk3-4                                     | Small library that passes a menu structure across DBus -- GTK+ 3 version           | package    
  | libdbusmenu-gtk3-devel                                 | Development files for libdbusmenu-gtk3-4                                           | package    
  | libdbusmenu-gtk4                                       | Small library that passes a menu structure across D-Bus -- GTK+ 2 version          | package    
  | libexif-gtk                                            | GTK Widgets for Viewing EXIF Information                                           | package    
  | libexif-gtk-devel                                      | GTK Widgets for Viewing EXIF Information                                           | package    
  | libexif-gtk5                                           | GTK Widgets for Viewing EXIF Information                                           | package    
  | libfm-gtk-devel                                        | GTK devel files for libfm                                                          | package    
  | libfm-gtk4                                             | GTK libfm libraries                                                                | package    
  | libgirara-gtk3-2                                       | Header files for girara library                                                    | package    
i | libgtk-2_0-0                                           | The GTK+ toolkit library (version 2)                                               | package    
i | libgtk-2_0-0-32bit                                     | The GTK+ toolkit library (version 2)                                               | package    
i | libgtk-3-0                                             | The GTK+ toolkit library (version 3)                                               | package    
i | libgtk-3-0-32bit                                       | The GTK+ toolkit library (version 3)                                               | package    
  | libgtk-vnc-1_0-0                                       | A GTK widget for VNC clients                                                       | package    
i | libgtk-vnc-2_0-0                                       | A GTK widget for VNC clients                                                       | package    
  | libgtkdatabox-0_9_1-3                                  | GTK+ widget for fast data display                                                  | package    
  | libgtkdatabox-devel                                    | Development files for GtkDatabox                                                   | package    
  | libgtkgl-2_0-1                                         | Shared Library of GtkGLArea                                                        | package    
  | libgtkgl-2_0-1-debuginfo                               | Debug information for package libgtkgl-2_0-1                                       | package    
  | libgtkglext-x11-1_0-0                                  | OpenGL Extension to GTK                                                            | package    
  | libgtkglext-x11-1_0-0-32bit                            | OpenGL Extension to GTK                                                            | package    
  | libgtkhex-3-0                                          | GNOME Binary Editor -- Library                                                     | package    
  | libgtkhotkey-devel                                     | Platform Independent Hotkey Handling for GTK+ Applications -- Development Files    | package    
  | libgtkhotkey1                                          | Platform Independent Hotkey Handling for GTK+ Applications                         | package    
  | libgtkhtml-4_0-0                                       | Lightweight HTML rendering/printing/editing engine                                 | package    
  | libgtkhtml-4_0-0-32bit                                 | Lightweight HTML rendering/printing/editing engine                                 | package    
  | libgtkhtml-editor-4_0-0                                | Lightweight HTML rendering/printing/editing engine                                 | package    
  | libgtkhtml-editor-4_0-0-32bit                          | Lightweight HTML rendering/printing/editing engine                                 | package    
  | libgtkimageview0                                       | Library providing an advanced widget for GdkPixbuf                                 | package    
i | libgtkmm-2_4-1                                         | C++ Interface for GTK2 (a GUI library for X)                                       | package    
  | libgtkmm-2_4-1-32bit                                   | C++ Interface for GTK2 (a GUI library for X)                                       | package    
i | libgtkmm-3_0-1                                         | C++ Interface for GTK3 (a GUI library for X)                                       | package    
i | libgtkmm-3_0-1-32bit                                   | C++ Interface for GTK3 (a GUI library for X)                                       | package    
  | libgtkpod1                                             | A platform independent GUI for the Apple® iPod® - System Library                   | package    
  | libgtksourceview-2_0-0                                 | GTK+ Source Editing Widget                                                         | package    
i | libgtksourceview-3_0-1                                 | GTK+ Source Editing Widget                                                         | package    
  | libgtksourceviewmm-3_0-0                               | C++ interface for gtksourceview                                                    | package    
  | libgtkspell0                                           | GTK2 Spell Checker Interface Library                                               | package    
i | libgtkspell3-3-0                                       | GTK3 Spell Checker Interface Library                                               | package    
  | libgwengui-gtk2-0                                      | Multiplatform Helper Library for Other Libraries -- GTK+ UI Backend                | package    
i | libjavascriptcoregtk-1_0-0                             | JavaScript Core Engine, GTK+ Port                                                  | package    
i | libjavascriptcoregtk-1_0-0-32bit                       | JavaScript Core Engine, GTK+ Port                                                  | package    
i | libjavascriptcoregtk-3_0-0                             | JavaScript Core Engine, GTK+ Port                                                  | package    
  | libjavascriptcoregtk-3_0-0-32bit                       | JavaScript Core Engine, GTK+ Port                                                  | package    
i | libjavascriptcoregtk-4_0-18                            | JavaScript Core Engine, GTK+ Port                                                  | package    
  | libjavascriptcoregtk-4_0-18-32bit                      | JavaScript Core Engine, GTK+ Port                                                  | package    
  | libnm-gtk-devel                                        | NetworkManager Gtk+ dialogs -- Development Files                                   | package    
i | libnm-gtk0                                             | NetworkManager Gtk+ dialogs                                                        | package    
i | libpeas-gtk-1_0-0                                      | GObject-based Plugin Engine                                                        | package    
